"STATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AL1","AN1","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AW1","AW2","AW3","AW4","AX1","AX2","AX3","AX4","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GD1","GD2","GD3","GE1","GF1","KA1","KA2","KA3","KA4","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","MA1","MD1","MG1","MH1","MK1","MV1","MW1","OC1","OD1","OE1","OE2","OE3","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"72242712975","2017-03-23T08:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0178,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10200,5,10184,5","8,9,012,9,+999,9",,,,,,,,,,,"V020","MET09503/23/17 02:53:02 METAR KLVJ 230853Z 00000KT 9SM CLR 20/18 A3012 RMK AO2 SLP199 T02000178 58012","FM-15","10199,5","7","+0200,5","014484,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T09:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0172,5","D01      0ADE726","04,5,+00610,5,99,9",,,"2,99,1,+00610,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00610,1,99,9,99,9",,,,,,,,,,,,,"10200,5,10184,5",,,,,,,,,,,,"V020","MET09203/23/17 03:53:02 METAR KLVJ 230953Z 13004KT 8SM SCT020 19/17 A3012 RMK AO2 SLP199 T01940172","FM-15","10199,5","7","+0194,5","012875,5,N,5","130,5,N,0021,5"
"72242712975","2017-03-23T10:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0172,5","D01      0ADE726","02,5,+00671,5,99,9",,,"1,99,1,+00671,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00671,1,99,9,99,9",,,,,,,,,,,,,"10200,5,10184,5",,,,,,,,,,,,"V020","MET09203/23/17 04:53:02 METAR KLVJ 231053Z 00000KT 8SM FEW022 19/17 A3012 RMK AO2 SLP200 T01890172","FM-15","10200,5","7","+0189,5","012875,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T11:51:00","6","FM-16","KLVJ ","V020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00671,5,M,N","+0170,5",,"07,5,+00671,5,99,9",,,"3,99,1,+00671,5,9",,,,,,,,,,,,,,,,,"10203,5,10187,5",,,,,,,,,,,,"V020","MET08003/23/17 05:51:02 SPECI KLVJ 231151Z 00000KT 8SM BKN022 19/17 A3013 RMK AO2 FIBI","FM-16","99999,9","6","+0190,5","012875,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T11:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00671,5,M,N","+0172,5",,"07,5,+00671,5,99,9",,,"3,99,1,+00671,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00671,1,99,9,99,9","060,M,+0206,1","060,N,+0183,1",,,,,,,,,,,"10203,5,10187,5","3,9,003,9,+999,9",,,,,,,,,,,"V020","MET11003/23/17 05:53:02 METAR KLVJ 231153Z 00000KT 8SM BKN022 18/17 A3013 RMK AO2 SLP202 T01830172 10206 20183 53003","FM-15","10202,5","7","+0183,5","012875,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T12:36:00","7","FM-16","KLVJ ","V020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0172,5","D01      0ADE726","04,5,+00701,5,99,9",,,"2,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00701,1,99,9,99,9",,,,,,,,,,,,,"10210,5,10194,5",,,,,,,,,,,,"V020","MET08503/23/17 06:36:02 SPECI KLVJ 231236Z 00000KT 7SM SCT023 19/17 A3015 RMK AO2 T01940172","FM-16","99999,9","7","+0194,5","011265,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T12:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,"0,0,00,1,0,1,5",,,"10,5",,,,,,,,"KLVJ ","22000,5,9,N","+0178,5","D01      0ADE726","04,5,+00701,5,99,9",,,"2,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00701,1,99,9,99,9",,,,,,,,,,,,,"10210,5,10194,5",,,,,,,,,,,,"V020","MET09503/23/17 06:53:02 METAR KLVJ 231253Z 00000KT 6SM BR SCT023 19/18 A3015 RMK AO2 SLP208 T01940178","FM-15","10208,5","7","+0194,5","009656,5,N,5","999,9,C,0000,5"
"72242712975","2017-03-23T13:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0194,5","D01      0ADE726","02,5,+00701,5,99,9",,,"1,99,1,+00701,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00701,1,99,9,99,9",,,,,,,,,,,,,"10217,5,10201,5",,,,,,,,,,,,"V020","MET09203/23/17 07:53:02 METAR KLVJ 231353Z 16004KT 8SM FEW023 22/19 A3017 RMK AO2 SLP214 T02170194","FM-15","10214,5","7","+0217,5","012875,5,N,5","160,5,N,0021,5"
"72242712975","2017-03-23T14:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00579,5,M,N","+0183,5",,"07,5,+00579,5,99,9",,,"3,99,1,+00579,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00579,1,99,9,99,9",,,,,,,,,,,,,"10217,5,10201,5","1,9,015,9,+999,9",,,,,,,,,,,"V020","MET09903/23/17 08:53:02 METAR KLVJ 231453Z 19007KT 10SM BKN019 24/18 A3017 RMK AO2 SLP217 T02390183 51015","FM-15","10217,5","7","+0239,5","016093,5,N,5","190,5,N,0036,5"
"72242712975","2017-03-23T15:44:00","7","FM-16","KLVJ ","V020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0172,5","D01      0ADE726","02,5,+00732,5,99,9",,,"1,99,1,+00732,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00732,1,99,9,99,9",,,,,,,,,,,,,"10220,5,10204,5",,,,,,,"0093,5",,,,,"V020","MET08903/23/17 09:44:02 SPECI KLVJ 231544Z 18010G18KT 10SM FEW024 25/17 A3018 RMK AO2 T02500172","FM-16","99999,9","7","+0250,5","016093,5,N,5","180,5,N,0051,5"
"72242712975","2017-03-23T15:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0167,5","D01      0ADE726","02,5,+00732,5,99,9",,,"1,99,1,+00732,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00732,1,99,9,99,9",,,,,,,,,,,,,"10220,5,10204,5",,,,,,,,,,,,"V020","MET09303/23/17 09:53:02 METAR KLVJ 231553Z 17013KT 10SM FEW024 26/17 A3018 RMK AO2 SLP220 T02560167","FM-15","10220,5","7","+0256,5","016093,5,N,5","170,5,N,0067,5"
"72242712975","2017-03-23T16:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0161,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10220,5,10204,5",,,,,,,"0093,5",,,,,"V020","MET09303/23/17 10:53:02 METAR KLVJ 231653Z 18014G18KT 10SM CLR 27/16 A3018 RMK AO2 SLP218 T02670161","FM-15","10218,5","7","+0267,5","016093,5,N,5","180,5,N,0072,5"
"72242712975","2017-03-23T17:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0161,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0278,1","060,N,+0178,1",,,,,,,,,,,"10210,5,10194,5","8,9,007,9,+999,9",,,,,,"0093,5",,,,,"V020","MET11103/23/17 11:53:02 METAR KLVJ 231753Z 17013G18KT 10SM CLR 27/16 A3015 RMK AO2 SLP210 T02720161 10278 20178 58007","FM-15","10210,5","7","+0272,5","016093,5,N,5","170,5,N,0067,5"
"72242712975","2017-03-23T18:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0139,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10200,5,10184,5",,,,,,,"0113,5",,,,,"V020","MET09303/23/17 12:53:02 METAR KLVJ 231853Z 15015G22KT 10SM CLR 28/14 A3012 RMK AO2 SLP199 T02830139","FM-15","10199,5","7","+0283,5","016093,5,N,5","150,5,N,0077,5"
"72242712975","2017-03-23T19:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0150,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10177,5",,,,,,,"0113,5",,,,,"V020","MET09303/23/17 13:53:02 METAR KLVJ 231953Z 14011G22KT 10SM CLR 28/15 A3010 RMK AO2 SLP193 T02830150","FM-15","10193,5","7","+0283,5","016093,5,N,5","140,5,N,0057,5"
"72242712975","2017-03-23T20:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0150,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10193,5,10177,5","6,9,019,9,+999,9",,,,,,"0103,5",,,,,"V020","MET09903/23/17 14:53:02 METAR KLVJ 232053Z 16014G20KT 10SM CLR 28/15 A3010 RMK AO2 SLP191 T02780150 56019","FM-15","10191,5","7","+0278,5","016093,5,N,5","160,5,N,0072,5"
"72242712975","2017-03-23T21:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0139,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10186,5,10171,5",,,,,,,,,,,,"V020","MET09003/23/17 15:53:02 METAR KLVJ 232153Z 15013KT 10SM CLR 27/14 A3008 RMK AO2 SLP186 T02720139","FM-15","10186,5","7","+0272,5","016093,5,N,5","150,5,N,0067,5"
"72242712975","2017-03-23T22:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0150,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10190,5,10174,5",,,,,,,"0093,5",,,,,"V020","MET09303/23/17 16:53:02 METAR KLVJ 232253Z 17013G18KT 10SM CLR 26/15 A3009 RMK AO2 SLP187 T02560150","FM-15","10187,5","7","+0256,5","016093,5,N,5","170,5,N,0067,5"
"72242712975","2017-03-23T23:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0161,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,+0294,1","060,N,+0244,1",,,,,,,,,,,"10186,5,10171,5","6,9,006,9,+999,9",,,,,,"0082,5",,,,,"V020","MET11103/23/17 17:53:02 METAR KLVJ 232353Z 16010G16KT 10SM CLR 24/16 A3008 RMK AO2 SLP185 T02440161 10294 20244 56006","FM-15","10185,5","7","+0244,5","016093,5,N,5","160,5,N,0051,5"
"72242712975","2017-03-24T00:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0172,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10167,5",,,,,,,,,,,,"V020","MET09003/23/17 18:53:01 METAR KLVJ 240053Z 15009KT 10SM CLR 23/17 A3007 RMK AO2 SLP180 T02330172","FM-15","10180,5","7","+0233,5","016093,5,N,5","150,5,N,0046,5"
"72242712975","2017-03-24T01:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0178,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10179,5,10164,5",,,,,,,,,,,,"V020","MET09003/23/17 19:53:02 METAR KLVJ 240153Z 14010KT 10SM CLR 23/18 A3006 RMK AO2 SLP179 T02280178","FM-15","10179,5","7","+0228,5","016093,5,N,5","140,5,N,0051,5"
"72242712975","2017-03-24T02:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0183,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10167,5","5,9,002,9,+999,9",,,,,,,,,,,"V020","MET09603/23/17 20:53:02 METAR KLVJ 240253Z 14010KT 10SM CLR 23/18 A3007 RMK AO2 SLP183 T02280183 55002","FM-15","10183,5","7","+0228,5","016093,5,N,5","140,5,N,0051,5"
"72242712975","2017-03-24T03:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0172,5",,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,"10183,5,10167,5",,,,,,,,,,,,"V020","MET09003/23/17 21:53:02 METAR KLVJ 240353Z 14010KT 10SM CLR 22/17 A3007 RMK AO2 SLP181 T02220172","FM-15","10181,5","7","+0222,5","016093,5,N,5","140,5,N,0051,5"
"72242712975","2017-03-24T04:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","22000,5,9,N","+0178,5","D01      0ADE726","02,5,+00610,5,99,9",,,"1,99,1,+00610,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00610,1,99,9,99,9",,,,,,,,,,,,,"10183,5,10167,5",,,,,,,,,,,,"V020","MET09303/23/17 22:53:02 METAR KLVJ 240453Z 15011KT 10SM FEW020 22/18 A3007 RMK AO2 SLP180 T02220178","FM-15","10180,5","7","+0222,5","016093,5,N,5","150,5,N,0057,5"
"72242712975","2017-03-24T05:09:00","7","FM-16","KLVJ ","V020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00640,5,M,N","+0183,5",,"07,5,+00640,5,99,9","07,5,+00792,5,99,9",,"3,99,1,+00640,5,9","3,99,1,+00792,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00640,1,99,9,99,9",,,,,,,,,,,,,"10179,5,10164,5",,,,,,,,,,,,"V020","MET09303/23/17 23:09:02 SPECI KLVJ 240509Z 15010KT 10SM BKN021 BKN026 22/18 A3006 RMK AO2 T02220183","FM-16","99999,9","7","+0222,5","016093,5,N,5","150,5,N,0051,5"
"72242712975","2017-03-24T05:53:00","7","FM-15","KLVJ ","V020","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KLVJ ","00610,5,M,N","+0183,5",,"07,5,+00610,5,99,9","07,5,+00792,5,99,9",,"3,99,1,+00610,5,9","3,99,1,+00792,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00610,1,99,9,99,9","060,M,+0244,1","060,N,+0222,1","240,M,+0294,1","240,N,+0178,1",,,,,,,,,"10176,5,10160,5","8,9,009,9,+999,9",,,,,,,,,,,"V020","MET12803/23/17 23:53:02 METAR KLVJ 240553Z 15009KT 10SM BKN020 BKN026 22/18 A3005 RMK AO2 SLP174 T02220183 10244 20222 402940178 58009","FM-15","10174,5","7","+0222,5","016093,5,N,5","150,5,N,0046,5"
